Date,Open,High,Low,Close,Adj Close,Volume
2021-12-06,375.611115,377.888885,364.444458,365.155548,360.314911,20270187
2021-12-07,367.777771,368.333344,340.111115,349.444458,344.812073,39850464
2021-12-08,352.661102,358.211121,347.916656,355.000000,350.293976,21395883
2021-12-09,355.000000,355.555542,346.055542,352.111115,347.443390,24168976
2021-12-10,345.677765,362.977783,345.100006,355.527771,350.814758,38491952
2021-12-13,355.500000,367.033325,350.044434,365.755554,360.906982,28949000
2021-12-14,365.188873,365.188873,357.766663,361.672211,356.877747,15805944
2021-12-15,360.794434,367.222229,359.416656,360.555542,355.775879,12686428
2021-12-16,365.166656,365.166656,359.488892,363.922211,359.097931,11070399
2021-12-17,361.672211,363.327789,355.388885,361.772217,356.976410,24568345
2021-12-20,360.555542,360.555542,337.600006,339.005554,334.511566,27920433
2021-12-21,336.666656,341.494446,330.044434,335.594452,331.145691,22618404
2021-12-22,338.222229,342.777771,335.000000,339.022217,334.528015,15051312
2021-12-23,344.255554,346.944458,342.294434,345.594452,341.013123,14349274
2021-12-24,346.666656,347.361115,312.777771,320.444458,316.196503,44294551
2021-12-27,319.000000,326.661102,318.611115,321.444458,317.183289,18330377
2021-12-28,321.111115,326.266663,316.616669,325.000000,320.691650,17387233
2021-12-29,325.000000,325.549988,316.544434,319.750000,315.511261,17935133
2021-12-30,320.555542,331.272217,319.761108,327.777771,323.432617,22357702
2021-12-31,332.388885,336.661102,323.333344,326.666656,322.336212,16868010
2022-01-04,336.666656,337.222229,311.666656,316.044434,311.854828,31422321
2022-01-05,314.666656,314.933319,300.000000,304.166656,300.134491,29984185
2022-01-06,299.172211,303.888885,295.438873,300.816681,296.828949,24988683
2022-01-07,305.555542,308.888885,293.333344,299.944458,295.968262,23705042
2022-01-10,297.211121,305.000000,291.244446,299.111115,295.145996,26753230
2022-01-11,300.616669,305.500000,298.005554,298.166656,294.214050,15250098
2022-01-12,306.111115,316.644440,306.055542,313.911102,309.749786,34495493
2022-01-13,317.222229,323.333344,308.188873,313.888885,309.727844,25019535
2022-01-14,309.477783,322.666656,308.888885,320.777771,316.525421,20903072
2022-01-17,327.144440,338.055542,321.555542,337.138885,332.669647,25835119
2022-01-18,337.138885,337.649994,325.555542,326.000000,321.678436,19263009
2022-01-19,327.500000,330.555542,310.277771,316.661102,312.463318,26077390
2022-01-20,314.444458,321.111115,312.972229,316.183319,311.991882,14517649
2022-01-21,312.777771,322.000000,306.666656,316.383331,312.189240,17851316
2022-01-24,313.333344,329.033325,310.561096,322.772217,318.493408,20811832
2022-01-25,318.450012,324.072235,313.888885,314.222229,310.056763,12958612
2022-01-26,317.666656,328.111115,314.722229,326.388885,322.062134,20886616
2022-01-27,325.000000,330.549988,316.666656,319.438873,315.204254,23306738
2022-01-28,330.333344,335.555542,316.911102,329.222229,324.857941,43797121
2022-02-07,336.666656,338.877777,318.988892,321.911102,317.643707,26151946
2022-02-08,321.911102,321.911102,289.899994,300.477783,296.494537,37170534
2022-02-09,299.444458,306.055542,292.777771,304.000000,299.970062,20690481
2022-02-10,306.555542,306.666656,277.716675,287.833344,284.017731,52620456
2022-02-11,281.111115,285.322235,271.666656,272.216675,268.608063,43163724
2022-02-14,270.000000,284.938873,269.477783,282.222229,278.480988,35331415
2022-02-15,288.333344,294.627777,283.888885,292.777771,288.896576,27271490
2022-02-16,293.333344,301.350006,291.105560,294.888885,290.979706,22872229
2022-02-17,294.433319,301.944458,291.988892,297.222229,293.282135,19344994
2022-02-18,294.444458,297.222229,290.544434,293.055542,289.170685,20492602
2022-02-21,292.500000,292.500000,280.816681,283.333344,279.577362,28135135
2022-02-22,281.472229,282.222229,273.538879,280.000000,276.288208,24539131
2022-02-23,281.111115,288.361115,279.155548,288.333344,284.511108,27779814
2022-02-24,282.222229,289.766663,278.333344,282.055542,278.316498,29088041
2022-02-25,289.444458,297.222229,289.383331,293.777771,289.883331,30541028
2022-02-28,291.111115,298.055542,291.111115,296.311096,292.383087,17938261
2022-03-01,299.555542,304.488892,294.444458,297.877777,293.928986,17548257
2022-03-02,295.000000,295.438873,282.711121,285.466675,281.682404,24143277
2022-03-03,287.333344,288.222229,281.649994,284.994446,281.216461,15658068
2022-03-04,280.555542,282.777771,271.111115,273.216675,269.594818,29310030
2022-03-07,263.888885,269.444458,252.227783,252.716660,249.366547,44278675
2022-03-08,257.766663,259.144440,246.116669,253.027771,249.673538,40957308
2022-03-09,253.333328,263.333344,248.888885,263.038879,259.551910,42223354
2022-03-10,272.222229,280.861115,269.616669,272.672211,269.057587,43131047
2022-03-11,267.127777,275.000000,263.388885,274.194458,270.559631,30783909
2022-03-14,268.333344,270.683319,257.222229,257.222229,253.812393,29323825
2022-03-15,256.111115,267.383331,250.333328,257.333344,253.922043,38283638
2022-03-16,264.555542,279.705566,260.272217,279.500000,275.794861,50802575
2022-03-17,287.500000,297.222229,286.166656,291.388885,287.526093,49734142
2022-03-18,288.333344,291.372223,280.000000,283.611115,279.851471,29505252
2022-03-21,288.888885,296.777771,287.555542,288.888885,285.059265,24541336
2022-03-22,288.888885,288.888885,281.666656,285.000000,281.221954,18410862
2022-03-23,288.888885,290.544434,283.277771,286.272217,282.477264,15139738
2022-03-24,283.305542,287.600006,276.877777,285.555542,281.770111,15265044
2022-03-25,284.399994,287.877777,278.888885,278.927765,275.230194,16710550
2022-03-28,282.711121,282.711121,265.600006,270.555542,266.968964,26903721
2022-03-29,270.555542,277.777771,267.777771,270.500000,266.914154,20224704
2022-03-30,273.333344,288.333344,273.333344,288.333344,284.511108,29190562
2022-03-31,286.194458,287.777771,279.527771,284.611115,280.838196,17323059
2022-04-01,282.222229,291.388885,280.627777,288.277771,284.456238,17132833
2022-04-06,286.955566,287.777771,279.444458,282.316681,278.574158,15377058
2022-04-07,278.083344,280.555542,270.583344,275.122223,271.475098,21524547
2022-04-08,273.722229,280.483337,271.666656,275.000000,271.354492,16842834
2022-04-11,264.038879,265.555542,251.166672,255.000000,251.619629,37328769
2022-04-12,255.983337,262.655548,255.833328,262.222229,258.746094,22496761
2022-04-13,258.827789,267.666656,256.666656,258.888885,255.456955,17141619
2022-04-14,263.888885,264.444458,252.222229,255.444443,252.058167,24754266
2022-04-15,250.633331,253.883331,240.427780,250.477783,247.157349,35980387
2022-04-18,245.555557,251.100006,241.833328,250.555557,247.234085,21523710
2022-04-19,250.255554,255.322220,243.583328,244.588882,241.346527,25887839
2022-04-20,243.894440,246.111115,225.433334,226.111115,223.113693,56159307
2022-04-21,228.822220,231.944443,221.611115,227.283340,224.270370,38009822
2022-04-22,226.666672,235.100006,225.000000,230.683334,227.625305,35505939
2022-04-25,221.000000,225.611115,216.666672,216.722229,213.849274,38369714
2022-04-26,214.505554,217.777771,209.444443,209.444443,206.667953,33318918
2022-04-27,203.888885,227.088882,203.744446,226.138885,223.141098,56902330
2022-04-28,222.211105,223.611115,212.222229,215.277771,212.423965,46651908
2022-04-29,218.888885,227.766663,208.344437,227.416672,224.401947,60565782
2022-05-05,202.777771,214.044449,196.111115,208.888885,206.119781,108498972
2022-05-06,201.111115,214.850006,201.011108,208.883331,206.114288,43344171
2022-05-09,207.777771,209.422226,202.061111,204.722229,202.008362,30002457
2022-05-10,199.611115,213.888885,198.411118,210.649994,207.857529,43988023
2022-05-11,211.094437,232.655548,210.833328,227.638885,224.621216,57157153
2022-05-12,224.666672,227.333328,221.044449,224.172226,221.200500,24157449
2022-05-13,226.111115,232.472229,222.505554,230.444443,227.389587,26738343
2022-05-16,231.661118,237.666672,226.116669,226.116669,223.119186,25898056
2022-05-17,227.766663,235.877777,226.805557,234.755554,231.643539,25001735
2022-05-18,235.800003,236.666672,230.244446,232.777771,229.691971,19281625
2022-05-19,230.250000,234.388885,227.033340,232.777771,229.691971,22739320
